Actaeon	Brain	Bluetooth	Aarhus	Abd_ar_Rahman_III	Color	Christ__title_	Acacia_sensu_lato	Amazons	Bioterrorism	Bodybuilding	Bistability	Altair	Conspiracy_theory	Albert__Duke_of_Prussia	Adam_Carolla	The_Birth_of_a_Nation	Bodhidharma	Boston_Herald	Bernard_Montgomery
0.922930402930403	0.12388278388278388	0.10732600732600732	0.0936996336996337	0.12761904761904763	0.1221978021978022	0.12483516483516484	0.14256410256410257	0.19604395604395605	0.10534798534798535	0.11721611721611722	0.09157509157509157	0.11098901098901098	0.12981684981684982	0.10498168498168498	0.10622710622710622	0.14073260073260074	0.1082051282051282	0.10512820512820513	0.09721611721611721
0.12022486265491249	0.4815498797867522	0.1490179681057412	0.1413173513595131	0.15329221691812722	0.22711592738422942	0.15445369757366692	0.20244607826056657	0.1699130050989001	0.2000766577232656	0.21957791792977688	0.18675447460422548	0.1500865303088377	0.20939173258069388	0.11106078028270439	0.1132559787216744	0.16714868113871564	0.16828693218114452	0.12373253423464232	0.1209217510482363
0.14719411223551057	0.19745315450539874	0.5635985086912313	0.15293984731838797	0.1496957665553027	0.20829903645959424	0.14800109749995966	0.18935102245033006	0.17858583902257943	0.21427072741651737	0.1990348456237189	0.16988653787181845	0.14498297261092014	0.2047967204118853	0.10832970189964332	0.16928936877612616	0.18499330202230507	0.148565987185074	0.15758808244161462	0.13350764215045433
0.17760734729020838	0.19359982142002966	0.20243315209592297	0.4356633767559035	0.18442368097963868	0.19839118580289236	0.182143597429724	0.2128768914329448	0.21561936954892613	0.20873128497855445	0.21223910582457706	0.14890699491365977	0.1616945963614331	0.21634485067844444	0.1472726692922174	0.19666916466029943	0.2015482245643127	0.17017714495272415	0.18530860851124895	0.18151378414146085
0.12347484956281791	0.13820273280361714	0.10951161940224076	0.11489743674989195	0.8130589447787493	0.12733136075002494	0.1464809335416736	0.15003823265401112	0.16539778583064596	0.14152731141327837	0.1367731640014628	0.08810133315602248	0.10821503374447289	0.15426044748828086	0.15176701353103494	0.12177931447189069	0.15605571993749792	0.1410951161940224	0.11995079623657702	0.13035672728481665
0.11206358590337308	0.1875390022005452	0.15935888593293263	0.10194764673038395	0.13314940716655171	0.7530134331789667	0.12786152987158012	0.17197096594081518	0.15213321509508326	0.15173908759483692	0.16950766906427564	0.14668111800834235	0.13314940716655171	0.16648602489572042	0.09353959339179557	0.10933753736000262	0.14494038821558775	0.14549873550760337	0.10789240319243275	0.08542713567839195
0.1827454313642159	0.21954951126221844	0.1564385890352741	0.18712282192945176	0.23761155971100723	0.20157246068848278	0.9204844878878028	0.23323416914577136	0.22018699532511687	0.20182745431364216	0.2153421164470888	0.16366340841478963	0.16965575860603485	0.23880152996175097	0.18814279643008924	0.17900552486187846	0.2334041648958776	0.2095622609434764	0.15796855078623034	0.18185295367615809
0.14296455020487953	0.18536897109131237	0.15134769369572573	0.1450321416488102	0.15247547084696064	0.18525619337618887	0.15386639600015037	0.8760948836509905	0.18044434419758656	0.16570805608811698	0.1904815608435773	0.14161121762339762	0.14928010225179505	0.18521860080448105	0.11059734596443743	0.13676177587308747	0.17770008646291494	0.1528138039923311	0.1425510319160934	0.1269501146573437
0.1772830531576556	0.1544525215810995	0.12935029532030895	0.11456156292594276	0.1570649704679691	0.15129486597001363	0.15197637437528397	0.17841890049977283	0.6411403907314857	0.1374148114493412	0.14770558836892322	0.10233984552476147	0.1241026805997274	0.16431167651067696	0.12055883689232168	0.13691503861880963	0.1659700136301681	0.1412085415720127	0.1263062244434348	0.11865061335756474
0.13001110151720735	0.18653015912174664	0.17779696558529665	0.1425188109041569	0.14621931663994078	0.17991858887381276	0.13156531392623658	0.1838904650302208	0.16647341803379795	0.6579745898606143	0.18386579499198225	0.13992845688910818	0.1273220673492044	0.2142346120636487	0.11012705069692857	0.15181941532009374	0.17663747378808436	0.14044652769211793	0.13699272233871962	0.12564450474898237
