50.0	50.0	58.0	1.554667	1.587911	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	61.0	1.516045	1.518489	50.0	50.0	50.0	50.0	50.0	50.0	56.0	1.484267	1.505289	50.0	50.0
41.0	41.0	48.0	1.277467	1.211955	41.0	41.0	41.0	41.0	41.0	41.0	41.0	41.0	41.0	41.0	51.0	1.269644	1.202666	41.0	41.0	41.0	41.0	41.0	41.0	47.0	1.234444	1.166978	41.0	41.0
44.0	44.0	51.0	1.386978	1.317066	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	53.0	1.366444	1.539511	44.0	44.0	44.0	44.0	44.0	44.0	51.0	1.294578	1.295556	44.0	44.0
40.0	40.0	47.0	1.222223	1.208044	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	52.0	1.260844	1.379156	40.0	40.0	40.0	40.0	40.0	40.0	47.0	1.146934	1.178223	40.0	40.0
40.0	40.0	49.0	1.254978	1.2804	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	51.0	1.218311	1.165511	40.0	40.0	40.0	40.0	40.0	40.0	48.0	1.132756	1.156222	40.0	40.0
44.0	44.0	45.0	1.234934	1.172844	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	46.0	1.181645	1.152311	44.0	44.0	44.0	44.0	44.0	44.0	45.0	1.247156	1.237867	44.0	44.0
50.0	50.0	59.0	1.528755	1.528267	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	60.0	1.516534	1.423156	50.0	50.0	50.0	50.0	50.0	50.0	62.0	1.576178	1.551245	50.0	50.0
55.0	55.0	51.0	1.356178	1.418267	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	52.0	1.243245	1.285778	55.0	55.0	55.0	55.0	55.0	55.0	57.0	1.547334	1.558578	55.0	55.0
68.0	68.0	64.0	1.6984	1.678845	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	64.0	1.6324	1.618222	68.0	68.0	68.0	68.0	68.0	68.0	68.0	1.844089	1.839689	68.0	68.0
49.0	49.0	58.0	1.540489	1.962401	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	57.0	1.388445	1.431956	49.0	49.0	49.0	49.0	49.0	49.0	60.0	1.540489	1.582533	49.0	49.0
67.0	67.0	73.0	2.014711	2.024489	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	72.0	1.842622	1.821111	67.0	67.0	67.0	67.0	67.0	67.0	77.0	2.093912	2.026934	67.0	67.0
52.0	52.0	53.0	1.424134	1.726756	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	55.0	1.321955	1.310711	52.0	52.0	52.0	52.0	52.0	52.0	56.0	1.389422	1.358623	52.0	52.0
47.0	47.0	49.0	1.247645	1.215378	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	55.0	1.317555	1.305333	47.0	47.0	47.0	47.0	47.0	47.0	57.0	1.435867	1.759022	47.0	47.0
46.0	46.0	51.0	1.510666	1.741912	46.0	46.0	46.0	46.0	46.0	46.0	46.0	46.0	46.0	46.0	54.0	1.630445	1.7292	46.0	46.0	46.0	46.0	46.0	46.0	52.0	1.284311	1.243244	46.0	46.0
