dataTitle	History_of_physics	Enrico_Fermi	Azerbaijani_Armed_Forces	BDSM	Greenhouse_effect	Globular_cluster	English_Channel	Ecclesiastes	Foreign_relations_of_Cuba	Ernest_Hemingway	Economy_of_Indonesia	Economy_of_Chile	Hausdorff_dimension	Charles_Baudelaire	Amino_acid	Acceptance_testing	Eleanor_of_Aquitaine	European_Parliament	December_5	Crannog
              International Phonetic Alphabet	9.7629	21.9916	18.6305	5.3073	14.0834	6.1670	7.6664	-48.6543	7.3821	6.5024	11.5620	13.3116	13.7987	13.5039	6.5273	16.6615	9.4441	9.6062	168.5481	14.2748
                                Cash register	11.3566	15.8609	11.4633	5.4524	11.9696	7.0995	7.5570	-47.8314	6.7016	6.7164	11.3145	11.2935	15.8403	14.2655	8.2748	12.4969	8.8835	9.1022	146.9518	16.1764
                                Elvis Presley	11.9426	15.1971	17.2907	6.5892	16.5030	8.7092	9.4414	-49.6035	8.8578	6.6071	16.5065	15.8015	21.7717	14.2541	11.2014	30.9345	8.1968	12.2410	56.5354	21.4037
                                   Bob Knight	12.6959	16.5408	12.4309	6.0467	12.2667	7.3446	7.8127	-48.9134	6.3340	5.9918	12.2174	12.4168	16.2948	13.7370	9.8726	18.6147	8.6737	9.2041	32.5702	19.5374
                                            H	13.1609	33.3554	24.2645	6.1650	18.6852	8.6858	8.2875	-50.6611	8.0292	6.9787	21.9746	17.1017	22.0949	14.5529	8.8574	20.8041	9.2569	11.4334	112.1111	18.9781
                                  C. S. Lewis	10.3135	13.6385	14.1296	5.5877	11.5402	7.2220	7.2913	-48.8447	7.1626	5.9415	14.6876	15.1971	14.0490	11.4367	8.2148	21.1651	7.4162	8.9476	44.1354	15.1519
                                         Boii	9.6911	16.1441	13.6210	5.8130	13.2555	7.8349	7.1348	-48.1408	7.6859	6.8950	17.0743	16.0469	13.7050	13.4020	8.9738	20.3899	7.8766	9.4709	70.9309	13.3350
                             Building society	12.1449	17.3975	13.1005	5.3057	12.6804	6.4819	6.2023	-47.2117	6.3298	6.3774	10.8700	10.0535	15.0302	16.6324	6.9674	16.5690	9.3460	7.9206	65.2814	13.8240
                                   February 5	27.2463	158.3813	41.5377	9.7368	54.9002	17.4445	15.6802	-48.2785	9.9167	9.1921	217.9703	36.8144	Infinity	37.2504	26.5561	-215.8333	27.7967	37.8265	3.8307	-400.2727
                               Fundamentalism	9.4223	15.2958	12.4487	4.9739	10.6082	7.0137	7.6694	-49.6190	5.6577	6.4613	11.6090	11.3415	14.4177	12.6992	7.4107	16.7536	9.4367	7.4353	67.0599	15.1732
                     Public international law	8.7118	18.0451	11.5947	5.0123	13.5127	7.5844	7.5507	-45.4826	5.3608	6.6458	10.9601	9.8787	15.1529	13.4622	8.0660	13.4937	9.9848	7.3393	47.8209	15.9051
                                  Black Death	9.0926	13.1226	10.7399	4.8400	9.2586	6.4639	6.1561	-49.2717	6.4575	5.8584	10.8424	10.6479	12.8451	11.0232	6.8793	16.8913	7.1136	8.0129	76.9190	11.9324
                            Carlos Valderrama	13.5185	16.6062	11.9889	5.9973	12.7144	7.5221	7.2346	-48.9980	5.8050	6.2624	10.7936	9.3984	19.9461	13.5407	9.0386	17.4968	9.9053	9.2065	35.1674	18.1767
                 History of Microsoft Windows	10.6723	18.9608	11.8155	5.3788	11.2734	6.8731	7.7096	-48.4202	6.1389	6.4592	10.2596	11.4287	17.1981	14.9694	8.2551	13.1395	9.3318	8.7350	315.8844	19.3399
                               British Empire	7.5659	12.8215	9.7655	4.7237	10.0358	6.3172	4.9008	-50.5623	4.6852	5.1381	10.7287	9.1247	11.8920	11.1749	7.1964	16.8324	6.1621	7.2645	23.7130	11.2450
                                         Axon	9.4602	14.9137	16.5468	5.5103	10.6279	6.2293	8.8717	-47.2422	8.7660	8.5653	16.5348	15.1715	11.8906	17.2602	5.6480	17.6884	10.8916	10.5007	250.7473	13.3517
                           Battle of Bouvines	12.1365	22.7767	15.4814	6.9164	16.2057	8.3932	6.7153	-48.0549	8.5972	6.9366	21.4542	18.2915	19.8176	14.4081	10.8178	30.8479	6.2297	11.2193	45.1821	20.2029
                                Hertfordshire	13.8999	25.8314	17.7651	7.0651	18.2676	9.0064	7.6096	-49.9874	8.3283	7.5975	18.5512	15.6374	21.2959	23.2206	10.7389	29.9799	10.9606	12.7367	61.4242	19.0999
                             Balance of trade	9.5988	17.1330	13.4726	5.5318	12.9352	7.2790	8.2588	-47.7921	6.1417	6.8558	9.7066	7.9340	15.2357	13.4926	8.1769	17.0526	9.6090	8.6853	110.7378	16.5100
                         Outline of chemistry	6.2012	17.0383	22.8417	5.8971	10.2213	7.6028	10.1617	-44.0484	8.9415	9.9491	15.5561	15.3620	17.5088	18.4996	5.6518	16.0946	16.2446	14.0896	32.5903	23.6954
                           History of Algeria	10.3821	22.3571	14.1085	6.0828	15.1091	8.9650	7.3937	-47.7458	6.2155	6.7125	13.8693	12.2715	21.9506	15.1724	10.5726	23.3238	8.8430	9.0936	50.6048	22.2590
                         Information security	10.2886	20.1089	11.8280	5.0602	13.3903	7.5640	8.5342	-46.7028	6.7476	8.3630	12.0233	10.5813	16.7368	16.3711	7.4938	11.3228	11.8605	8.5370	93.8294	18.9377
                            Esperanto grammar	19.7886	114.1981	55.6350	8.1914	36.8860	12.0424	15.0801	-45.1481	13.1174	10.8552	36.4486	33.2606	27.1620	32.5273	16.1427	45.4821	16.6829	16.8969	-69.7278	62.0976
                                   Ames, Iowa	12.6594	14.4621	10.7491	5.4245	12.1889	6.7664	7.0466	-49.3480	6.2086	5.8014	11.0509	9.0212	15.3506	13.5765	7.7432	16.1456	9.8265	8.6210	38.5833	16.0142
                                    Frequency	9.6113	21.1354	19.5415	5.4529	11.6826	6.3169	8.5858	-45.6197	8.4902	7.3156	16.8698	16.7390	11.1115	19.9323	7.1462	19.1374	11.6826	10.0201	-202.4375	18.6686
                            Coral Sea Islands	14.8073	39.9752	16.0398	7.3239	21.3421	7.9118	6.2588	-48.3596	7.4507	8.0299	13.5630	11.9889	18.6860	30.4528	11.3562	39.0091	14.0961	14.1579	94.2482	18.6052
                        Finno-Ugric languages	16.4477	28.7000	18.2348	6.5206	15.1631	9.4121	9.2236	-49.1390	8.6779	8.8249	19.5875	17.2952	17.2350	18.9140	9.9613	22.6320	12.0603	11.2453	-380.8269	19.6653
                              Autocorrelation	9.4253	22.0563	19.2244	5.6685	14.6632	6.2771	10.7013	-46.0425	8.7700	8.5422	19.9967	17.3582	8.8543	18.1807	7.4502	14.3995	13.6019	11.4391	-195.9255	19.5510
                                   Declension	14.2760	51.9543	35.1173	6.2073	20.0317	9.0302	10.6336	-46.0648	9.0158	8.7389	22.4862	21.4275	18.4708	21.2276	11.9391	27.5496	11.6817	12.6282	-437.6154	33.8631
