dataTitle	url	Green_Bay_Packers	Acid	Aberdare	Book_of_Revelation	Brigham_Young	Cash_register	Antoninus_Pius	Cinema_of_Germany	Harrison_Narcotics_Tax_Act	East_Germany	Honda	Eurovision_Song_Contest	Free_Methodist_Church	A_Doll_s_House	Eugene_Wigner	Geography_of_India	Chambered_cairn	Diego_Maradona	Politics_of_Germany	ISO_8601
                         Adam Smith	https://en.wikipedia.org/wiki/Adam+Smith	8.5127	7.7678	5.3757	5.4931	4.9666	6.5385	5.0920	5.5304	5.7312	5.4922	6.2853	5.9384	6.7826	5.0309	5.1426	6.3457	9.1461	7.4193	6.2388	7.8287
                  Francis Hopkinson	https://en.wikipedia.org/wiki/Francis+Hopkinson	7.0458	7.9680	5.0262	5.3936	4.7887	6.2741	4.6417	5.6169	4.7701	5.2418	5.7626	5.7662	5.9274	4.6805	4.4957	6.7866	10.3863	6.0658	6.0838	7.4170
                      Faith healing	https://en.wikipedia.org/wiki/Faith+healing	8.4253	8.1577	5.7261	5.6447	4.6145	5.8689	5.6045	6.1225	5.5628	5.7620	5.7918	5.8591	6.5733	5.2675	5.0751	6.4026	13.8662	6.9815	6.1332	7.5687
                           Holy See	https://en.wikipedia.org/wiki/Holy+See	7.5186	8.0442	5.7491	6.4382	5.4948	6.5520	5.3120	5.3483	5.7266	5.4172	6.1090	5.8837	5.6584	6.0818	6.0632	6.1519	9.1328	6.0632	4.6156	6.5285
                Aspirated consonant	https://en.wikipedia.org/wiki/Aspirated+consonant	9.7138	7.1652	7.5527	7.1299	8.7382	8.1772	7.5923	7.4922	8.6386	8.2879	8.5139	6.9192	9.3985	7.0634	7.9805	8.8994	11.2199	10.5858	7.7286	7.4051
                 Computer animation	https://en.wikipedia.org/wiki/Computer+animation	8.9050	7.2039	6.3733	6.8707	6.8064	6.2102	6.8513	5.6509	7.7512	6.2780	6.2475	6.5492	9.3793	6.3034	6.1352	7.3346	11.3488	8.4305	7.2015	6.8924
                       Galaxy Quest	https://en.wikipedia.org/wiki/Galaxy+Quest	7.0900	9.6588	6.5967	6.9114	5.7467	6.3872	6.4419	5.6699	6.3889	5.9113	5.3014	5.4794	8.2658	5.0975	6.0352	6.6286	13.4289	6.0983	6.2469	7.3700
                Autonomous building	https://en.wikipedia.org/wiki/Autonomous+building	12.4280	7.4088	7.6385	8.7539	7.9718	6.7701	8.0652	6.8970	8.1906	8.5559	7.2724	8.3433	9.3742	8.9048	8.7000	7.3925	10.7946	12.2188	7.3060	8.1533
                    Contract bridge	https://en.wikipedia.org/wiki/Contract+bridge	8.2653	7.3235	7.2950	7.3604	7.3650	7.2644	6.9784	6.4636	7.6467	7.3373	7.3546	6.7851	8.2873	6.6586	8.3167	8.1036	10.9093	9.3580	6.8058	6.9763
                          Architect	https://en.wikipedia.org/wiki/Architect	9.3644	7.0973	5.7839	7.2233	6.4063	6.2020	6.8501	5.6258	6.6421	6.4870	6.5822	7.3786	6.9618	7.3016	6.2686	7.5832	8.3462	10.4928	5.6549	6.8154
